,test_comment,sim,y_true
0,"ร้านนี้อร่อยจริงๆครับเดอะแกงค์ฟันธงเลยยืนยันพาเพื่อนต่างชาติไปทนพวกยังบอกอร่อยเลยขนาดต้องไปยืนรอร้อนๆคนเยอะมากสั่งไปสามจานใหญ่ห่อไข่โดนขยายมานั่งโต๊ะเสริมด้านนอกก็ยังโอเคเพราะว่าเค้าอร่อยจริงเจ้านี้ทีเด็ดอีกอย่างคือน้ำส้มลองดูครับ
""thegangreview""",0.0,0
1,"ร้านข้าวแกงกะหรี่ญี่ปุ่นอยู่บนชั้น2ของThaniyaplazaเดินเชื่อมมาจากbtsศาลาแดงได้เลย
ร้านเปิด11.00-21.00น.มีโต๊ะแยกประมาณ6โต๊ะและโต๊ะรวมสำหรับ10คนเจ้าของร้านเป็นคนญี่ปุ่นถ้ามาช่วงเที่ยงคนญี่ปุ่นจะแน่นร้านเลยค่ะ

เมนูเด็ดเป็นแกงกะหรี่ก็จริงแต่ก็มีเบนโตะเซ็ตให้เลือกด้วย
แนะนำ
*Curryricewithdeepfriedpork:หมูชุบแป้งทอดติดมัน(rosu)และไม่ติดมัน(fillet)หมูติดมันร้านนี้ไม่ได้มันมากเป็นมันที่แทรกอยู่ในเนื้อหมูนุ่มๆทอดได้กรอบอร่อยทานคู่กับของเด็ดของร้านซึ่งก็คือไชเท้าดองเป็นไชเท้าดองที่รสชาติหวานกำลังดีถูกใจเรามากนอกจากนี้ทางร้านยังเสิร์ฟสลัดและของหวานมาให้ด้วยดอยของหวานมีให้เลือกตั้งแต่คัสตาร์ดเยลลี่กาแฟชากาแฟแนะนำเยลลี่กาแฟค่ะอร่อยมาก

เมนูอาหารตกราคาประมาณจานละ250บาทถือว่าอิ่มอร่อยและคุ้มมากหากมีบัตรนักศึกษาจะลดราคาได้อีกนิดหน่อย",0.4122137404580153,0
2,เป็นอีกร้านที่อยากแนะนำให้คนรู้จักได้มาลองจะบอกว่าเขามีเมนูหลากหลายอาหารแต่ละเมนูหน้าตาน่ารับประทานมากค่ะที่สำคัญรสชาติอร่อยถูกปากมากๆแต่ช่วงนี้ใครแวะไปคงต้องสั่งกลับบ้านกันก่อนแต่อร่อยจริงค่ะคอนเฟิร์ม,0.2076923076923077,1
3,"นัดเพื่อนมาเจอกันที่ร้านParadaiอยากลองเมนูที่ไม่ใช่ชอกโกแลตดูบ้างว่าจะอร่อยเด็ดเหมือนเมนูชอกโกแลตที่เข้มข้นอร่อยมั้ยเพื่อนสั่งเป็นpiccololatteมีความเข้มข้นของกาแฟมากๆเลยรสก็เข้มข้นกลมกล่อมใช้ได้เลย

ส่วนเราสั่งเป็นMatchaLatteแบบร้อนแก้วละ80บาทชาเขียวร้อนสีสวยน่าทานมีกลิ่นหอมดีเลยส่วนรสชาติมีความเข้มข้นของผงชาเขียวค่อนข้างชัดเจนแต่ความกลมกล่อมและละมุนยังบางๆนิดเหมือนมันไม่ผสมผสานกันระหว่างชาเขียวและนมพอทานได้แต่ไม่โดนใจเค้า",0.5704225352112676,0
4,"ร้านโด่งดังด้วยบรรยากาศริมผาแต่บริการ@#$%น้องปอบจองมา16:00น.ลูกค้าก็ไม่เยอะแต่รู้สึกว่างานบริการจะแปลกๆ

ปกติน้องปอบไม่เคยรีวิวบ่นเรื่องบริการนะคะเพราะไม่เคยคาดหวังบริการที่เลิศเลอแต่ร้านนี้jackpotเพราะช้าแทบทุกเรื่องโดยเฉพาะตอนคิดเงินต้องเรียกซ้ำหลายครั้งและรอนานมาก

เริ่มสั่งเครื่องดื่มตามภาพนะคะbluesky฿120รสหวานจัดๆต้องคนให้น้ำแข็งละลายมากๆแล้วเอามะนาวลงไปจิ้มๆๆๆถึงจะพอทานได้ค่ะ

หอยเชลล์ผัดฉ่า฿200ผัดสูตรแปลกๆค่ะเหมือนผัดน้ำพริกเผา+ผัดฉ่ารสชาติผัดออกเค็มไปหน่อยเนื้อหอยเชลล์สดดีมากอ้วนเป่งเด้งดีหวานอร่อยค่ะ",0.20430107526881722,0
5,"ร้านป๊อปปูล่าของถนนนิมมานฯครับช่วงปีใหม่คนเยอะจริงๆถ้าไม่มารอก่อนร้านเปิด5โมงสงสัยจะอดทานกันเพราะ""โต๊ะเต็ม""นั่งเองผมทานร้านนี้มาหลายครั้งแล้วแต่ไม่รู้ว่าทำไมรอบนี้อาหารถึงไม่ค่อยอร่อยเหมือนเดิมแต่ราคาก็ยังสมเหตุสมผลเหมือนเดิมไม่แพงมาก4คนตกลงละ150.-เท่านั้นเพราะสั่งมาหลายเมนูเช่นเคย

**ที่ตั้งร้าน**

ซอยนิมมานฯ13หน้าร้านจะมีโคมผ้าตกแต่งแบบเหนือๆที่จอดรถไม่มีต้องไปจอดข้างทางช่วงกลางๆซอยแล้วเดินมาครับ

**เมนูที่สั่ง**

-แกงอ่อมไก่เนื้อไก่เปื่อยกำลังดีรู้สึกถึงกะปิที่ใช้ต้มน้ำแกงผมคงไม่ได้ชอบแกงประเภทนี้มากเลยเฉยๆครับ

-แกงฮังเลอร่อยดีครับสั่งทุกครั้งที่มาเพียงแต่รอบนี้น้ำแกงเหมือนจะข้นน้อยไปหน่อยครับ

-ผักหวานผัดไข่แปลกใหม่ดีครับอร่อยเข้ากันดีอย่างไม่น่าเชื่อ

-ไข่เจียวลาบเมืองอร่อยใช้ได้ครับมีกลิ่นหอมเฉพาะตัวทานได้เรื่อยๆเลย

-น้ำพริกอ่องยังไม่กลมกล่อมเท่าไหร่เค็มนำถูกแล้วแต่รสหวานจากมะเขือเทศและรสเปรี้ยวจากมะเขือส้มไม่ค่อยชัด

-แกงโฮะมันขมกว่าที่ควรจะเป็นถ้าปกติคนเหนือทานประมาณนี้ก็แปลว่ารสชาติอาจจะไม่ถูกปากคนภาคกลางเองครับ

-ไส้อั่วยังอร่อยเหมือนเดิมรสชาติเข้มข้นย่างกำลังดีแต่ผมคิดว่าไส้อั่วของร้านครัวเพชรดอยงามอร่อยกว่าครับ",0.2037037037037037,1
6,นอกจากก๋วยจั๊บแล้วซี่โครงหมูก็อร่อยข้างๆมีร้านขนมหวานอร่อยขายเฉพาะตอนกลางวัน,0.39156626506024095,1
7,ISAOเป็นร้านอาหารญี่ปุ่นสไตล์ซูชิบาร์เมนูหลักๆเน้นหนักไปที่ซูชิหลากหลายรูปแบบแต่เมนูที่ไปแล้วต้องสั่งก็คือซูชิแซนด์วิชนับเป็นการผสมผสานอเมริกันและญี่ปุ่นเข้าไว้ด้วยกันด้วยรูปลักษณ์จะเหมือนแซนด์วิชแต่ส่วนผสมจะเหมือนกับซูชิทั่วไปแต่เสิร์ฟมาในรูปแบบแซนด์วิชและอีกเมนูที่ลูกค้านิยมสั่งก็คือเมนูแจ็คกี้คือข้าวห่อสาหร่ายกุ้งที่เสิร์ฟมาในรูปแบบตัวหนอนน่ารักๆนับเป็นการครีเอทจานอาหารมาพร้อมกับงานศิลปะซึ่งลูกค้าต่างถูกอกถูกใจ,0.271523178807947,0
8,ร้านนี้อยู่ใกล้ๆมนต์นมสดเสาชิงช้าสามารถจอดรถข้างๆเสียตังชม.ละ30฿.แต่หากมาช่วงวันธรรมดาแบบว่าพักเที่ยงคนจะเยอะมหาศาลเพราะใกล้ศาลากทม.ทุกอย่างจะวุ่นวายม๊ากกกลองมาทุกสาขาแล้วยกเว้นที่สาขานี้ขอลองดูหน่อย.เมนูที่ทุกโต๊ะต้องมีคือแกงเหลืองและเนื้อปูผัดพริกเหลืองที่มีเนื้อปูชิ้นโตๆสดๆ😍ตามด้วยผัดดอกขจรที่สดกรอบใช้ได้เลยทอดมันปรากรายรสชาติกลมกล่อมนุ่มลิ้น.อิ่มแล้วต่อด้วยไอศรีมมะพร้าวน้ำหอมที่รสชาติละมุนลิ้นแต่คำแนกก็ละลายแล้ว.ผ่านมาก็ลองชิมดูกันนะครับ,0.15441176470588236,0
9,"จริงๆรสชาติดีนะแต่เเล้วแต่คนชอบเพราะทุกอย่างในร้านคือรสเดียวกันอ่ะ
ข้าวต้มแห้งดีนะอร่อยเราชอบอย่างน้อยมาถึงภูเก็ตอ่ะเนอะควรมากินอ่ะมันอร่อยนะแค่แบบมันเลี่ยนอ่ะเล้งไม่เปื่อยเลยยยยเปนต้มเล้งธรรมดาน้ำใสอ่ะไม่ใช่เล้งแบบกรุงเทพที่เราเคยชินเพราะงั้นทุกอย่างมันคือรสจืดรสเดียวกันทุกอย่างอ่ะมันเลยเลี่ยนแต่ถามว่าดีไหมคือดีนะมาลองก้ไม่ผิดหวังอ่ะคนเยอะนะแต่รอไม่นานจนเกินเหตุเเนะนำถ้ามาเกิน5คนควรนั่งแยกโต๊ะเพื่อความเร็วในการได้โต๊ะนั่งไม่งั้นรอนาน",0.18666666666666668,0
10,ชอบพริกขิงกุ้งนางชาและเค็กก็อร่อยประทับใจ,0.4052631578947368,0
11,รอคิวนานมากอาหารรสชาติธรรมดาหาที่ไหนก็ได้แต่ดันราคาแพง...สั่งอาหารไปแล้วไม่ยอมเอามาให้แล้วให้คอยนานตามสองรอบ....ทั้งหมดทั้งมวลนี้ตอนจบหักมุมด้วยเวลาเรียกเก็บเงินเอาบิลมาเร็วชะมัดรอไม่ถึงหนึ่งนาที,0.20218579234972678,1
12,"หลังจากการกินของคาวมาแล้วอยากกินขนมหวานให้มาลองร้านนี้เลยครับเพราะมีขนมให้เลือกเยอะมากอยากกินอะไรยังไงถามพ่อค้าแม่ค้าร้านนี้ดูได้ครับ

วันนี้ลองมากินขนมลาดูเป็นขนมก้อนๆน่าจะทำจากแป้งและมันรสชาติไม่หวานเกินไปกินได้เพลินๆครับผม",0.36538461538461536,0
